Link,Name,Cuisine,Price_4_two,Rating
https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-millars-road-vasanth-nagar-bangalore-402710,WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",200,3.8
https://www.swiggy.com/restaurants/taj-hotel-jumma-masjid-road-shivajinagar-bangalore-50571,Taj Hotel,"Chinese, Mughlai, North Indian",500,4.1
https://www.swiggy.com/restaurants/chickpet-donne-biryani-house-3rd-block-jayanagar-bangalore-606918,Chickpet Donne Biryani House,"Biryani, Kebabs, South Indian",250,4
https://www.swiggy.com/restaurants/wendys-kmk-towers-residency-road-bangalore-396753,Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",200,3.8
https://www.swiggy.com/restaurants/sri-krishna-sagar-6th-block-koramangala-bangalore-50711,Sri Krishna Sagar,"South Indian, North Indian, Beverages, Jain",200,4.3
https://www.swiggy.com/restaurants/thottathil-restaurant-maruti-nagar-btm-layout-bangalore-40098,Thottathil Restaurant,South Indian,200,3.9
https://www.swiggy.com/restaurants/falhari-a-fruitful-habit-sg-palya-tavarekere-bangalore-434918,Falhari - A Fruitful Habit,"Salads, Juices, Beverages, Desserts",300,4.2
https://www.swiggy.com/restaurants/nagarjuna-chimney-3rd-block-jaya-nagar-bangalore-1050,Nagarjuna Chimney,"Seafood, Andhra, Biryani, South Indian, Desserts, Beverages",800,4.3
https://www.swiggy.com/restaurants/twiststick-house-kavi-lakshmisha-road-basavanagudi-bangalore-66474,Twiststick House,"Jain, North Indian, Continental, Italian, Beverages, Thai",300,4.1
https://www.swiggy.com/restaurants/szechuan-dragon-hanumanthanagar-bangalore-20637,Szechuan Dragon,"Chinese, Thai",500,4.1
https://www.swiggy.com/restaurants/meghduth-biryanis-4th-block-jayanagar-bangalore-432565,MEGHDUTH BIRYANIS,"Biryani, Chinese, Andhra, South Indian",400,3.8
https://www.swiggy.com/restaurants/richie-rich-race-course-road-bangalore-46650,Richie Rich,"Desserts, Snacks, Chaat, Ice Cream",500,4.3
https://www.swiggy.com/restaurants/sagar-fast-food-8th-block-koramangala-bangalore-113839,Sagar fast food,"Chinese, South Indian, North Indian",200,4.4
https://www.swiggy.com/restaurants/mr-tea-maruti-nagar-btm-layout-bangalore-405531,Mr. Tea,"Snacks, Indian",200,4
https://www.swiggy.com/restaurants/backyard-burgers-and-grill-defence-colony-indiranagar-bangalore-3013,Backyard Burgers and Grill,"Burgers, Snacks, American, Beverages, Desserts, Fast Food, Arabian, Indian, Sala...",250,4
https://www.swiggy.com/restaurants/99-variety-and-dosa-and-pav-bhaji-avs-layout-koramangala-bangalore-156610,99 VARIETY AND DOSA & PAV BHAJI,Chaat,600,3.7
https://www.swiggy.com/restaurants/sri-srinivasa-pork-hotel-vivek-nagar-ejipura-bangalore-174152,Sri srinivasa pork hotel,Indian,150,3.1
https://www.swiggy.com/restaurants/thar-the-taste-of-rajasthan-5th-block-koramangala-bangalore-414271,THAR the taste of Rajasthan,"Thalis, Sweets",100,3.9
https://www.swiggy.com/restaurants/khan-saheb-grills-and-rolls-tasker-town-commercial-street-bangalore-2820,Khan Saheb Grills and Rolls,"Tandoor, Mughlai, North Indian, Kebabs",300,4.2
https://www.swiggy.com/restaurants/eatfit-ali-asker-road-cunningham-road-bangalore-393107,EatFit,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",270,4.3
